JobTitle,Company,Location,PostDate,ExtractDate,Salary,Summary,JobUrl
Software Developer - AI Trainer (Contract),,,,2025-03-26,From $40 an hour,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiKLJXfhH4majT342sg1htkVLyB-WNCeIu26K9EzmVAJoltJq3YAHgnEiIAOQ6ENt596cAy2mTFmcGhG_6A-4rSu2JWD4DLos4q1TLlzU0jM3sksP_j6eHF4a_VMX3tGTRTnhDipJUuoiS0CKpPagb6BIGR3KtGDZeGAPxGg3coZOywS4MIyBJ_IHTMDkSZgCkSScDcNaO2sZ4C-Ilpf4xtB8q5WiPH0Et6Qa6Ygo-7YEAS696S-SzzrNzCMh5bB24V-xuwACL3yGLhgfrAPGfgFKcVC0vLDboTOXzrlgpoQiQoPh0M1kMJz8Xep6kME6TZaLRlnh-GVCCL2dR3vkKVrUVT3sv8Q4fDzgVgT5i-4zmb_XtuWUUjoUHeYtNJmjC9i-UwePm3g465ghDfxI7UflIO_k6u8F8JejbpPRsIbs4X3NuBDr15BayhdfReF-Wq65GmvxUGxl_9VTNaTwtH7pr7BjbeLO0xvyFIddMzzduP3wmrh7QDlA66Mr2i24ctYS1wepBScoTtDb9bnCVIVGDQME5rZiDkyDkNOlizy4qIo_B7DidPNR75R8O4SE8aagI0KTL9hSLANqAcv9u-_gwItpqFKhbJX0jTpyG2BCsLntpd3UrIvbypimW_tc0pUvOnHt6e7C7SjWhq8q9pJqshu_5UVxy8nXiDpL0zzWcWSBdBT7WLyfFg8zjSz-79Inn0PebxH4NICVSMpHYFqsZbBjJhYJc2Mw3KHLE8_wQKlmbS8gMRKs7Ea5G5JBFrxGayIMAedjSq5rAzl2MnZJf0oxRdFK2LX2tK0tD9rDR82gtGMC87IFsN-joGnMHgM6l8DAtDejMjKy7LFYacc=&xkcb=SoAt6_M30qa0YJy7a50LbzkdCdPP&camk=nUmJqO2E8rj04_zQlVAF4g==&p=0&fvj=0&vjs=3
Python AWS Developer,,,,2025-03-26,N/A,,https://www.indeed.com/rc/clk?jk=278692d69374e56f&bb=NjlAcP2LRyHKv6VPy3zbLFSV24PHYrIWLbyLOl-MrZL-2jljiws1Jz_gMdyO-OYM0z5qcy7WvjYL-h0zcsA18zhOLJJapTpkGOzKwf76yJgX2iCbLZB2hwoiyI4EM8FV&xkcb=SoBt67M30qa0YJy7a50KbzkdCdPP&fccid=7badef2ebac304b7&vjs=3
Python Developer,,,,2025-03-26,N/A,,https://www.indeed.com/rc/clk?jk=102e0e81974b7041&bb=NjlAcP2LRyHKv6VPy3zbLMtl4wWlKNRx4zWmaqqqxXrWERa36TDxRGNUEW94-tuUjdsTH9SbJJFnLBemAz3hB05_qLolw-aBnA9zvv8ZddMSHtLUhSw3E2umo_Q8XgiD&xkcb=SoDw67M30qa0YJy7a50JbzkdCdPP&fccid=bd51fb4f781a5ba3&cmp=Ker-Infotech&ti=Python+Developer&vjs=3
Python Developer,,,,2025-03-26,N/A,,https://www.indeed.com/rc/clk?jk=ada3da33fa44712b&bb=NjlAcP2LRyHKv6VPy3zbLAOIIasfrQJiaYZCfL-PZ4UnrHpZrTZJ8i5huv_U6qll9Bok9SpI9lMDMAvvLiGeSKcp-fkFQ13cUioU1J2ZVDO2YkSayBmuNDleUysMltEo&xkcb=SoBE67M30qa0YJy7a50IbzkdCdPP&fccid=17cb879e0ba62f48&cmp=Zonestra-Technology-LLc&ti=Python+Developer&vjs=3
Python Developer,,,,2025-03-26,N/A,,https://www.indeed.com/rc/clk?jk=c35fc8a95d7d1117&bb=NjlAcP2LRyHKv6VPy3zbLAuKpjxV44JDzCI5bQRBvNwDPpuMAj0-u6GMG8yJ9b2JhKuK5KVxozFQXPsZwKwMWybUro5uMnrJ6ezOk_JZBDqctxjVbGDutyEx-Fgx8gZF&xkcb=SoDK67M30qa0YJy7a50PbzkdCdPP&fccid=c67533a523c83a4c&vjs=3
Python AWS Developer Only W2,,,,2025-03-26,N/A,,https://www.indeed.com/rc/clk?jk=13a8aa9e179ae9db&bb=NjlAcP2LRyHKv6VPy3zbLBfYNsthPV2Y6hqrKKkKYCmKIxGd6l80sw0wYH5Bc3Q1s-vhGPCRXrouZstZRGjay1CmSWewIu_qCN8x1Gcys9KEq_hOv7pmH54cYkCvRUk9&xkcb=SoB-67M30qa0YJy7a50ObzkdCdPP&fccid=28157d8e78737e82&cmp=SAP-Payroll&ti=Python+Developer&vjs=3
Financial Application Developer,,,,2025-03-26,$56.07 - $60.72 an hour,,https://www.indeed.com/rc/clk?jk=648d5168668fd977&bb=NjlAcP2LRyHKv6VPy3zbLEx1Pjc6q-lenRZVKN4iatRg95yaboNZLdgDfhv-h531Wb5LIVQBMjPlmrf1GSmWuWUyh5H7dzZxzPRfd_oKlG6dIk6GGz1NvY2vCU2vZDQm&xkcb=SoDj67M30qa0YJy7a50NbzkdCdPP&fccid=6eafe29028e8d37c&cmp=Boston-Technology-Corp&ti=Application+Developer&vjs=3
Python Developer,,,,2025-03-26,$50 - $65 an hour,,https://www.indeed.com/rc/clk?jk=f6ed964e1b2f1ea7&bb=NjlAcP2LRyHKv6VPy3zbLLxzfR0prADQr7-PQC7lZN1KxyKVEcPdWcdriS2f6QQ_KYxRRbTIiNOS1mCpdabEEU-Qq4h3eF_Aurb0-Rb-mBYY6IAT2PRMVQtEAgMdGop1&xkcb=SoBX67M30qa0YJy7a50MbzkdCdPP&fccid=08afc48b7ec51ebd&cmp=Grand-Software-Solutions&ti=Python+Developer&vjs=3
Senior Python Developer,,,,2025-03-26,N/A,,https://www.indeed.com/rc/clk?jk=33d5efe825184063&bb=NjlAcP2LRyHKv6VPy3zbLD13cAsv4VtpVwLsWgieHD7f3vLafE0hKFLP95MuYDE0KX3170Sk3l_PhTWclT3KfZzzihVCb4O4J0WeXgrdkRnXk6wUzxYlopjjaOdOnhRI&xkcb=SoC-67M30qa0YJy7a50DbzkdCdPP&fccid=61830e4d6b219496&cmp=SysMind&ti=Python+Developer&vjs=3
Python Developer only W2,,,,2025-03-26,$53.04 - $55.00 an hour,,https://www.indeed.com/rc/clk?jk=1d068a42cbd40b20&bb=NjlAcP2LRyHKv6VPy3zbLOehUb4tgxAx8OzViIqoohQZ2wtMvrH8sObjqDQgAEqHvngGInqYgLVlEngUGq7a2D3eonZvKlRwfB301CriXd6NaLe8K4uotps0fFXHc-FP&xkcb=SoAK67M30qa0YJy7a50CbzkdCdPP&fccid=b56578c64d3f0929&cmp=Procorp-Systems-Inc&ti=Python+Developer&vjs=3
